food,pantry,refrigerator,freezer
"
,
",,,
,,,
,,,
Milk, ,1 week,1 month
Butter, ,2 weeks,12 months
Canned or dry milk (unopened), , ,6 months
Cottage cheese, ,1 week,3 months
Cream, ,1-2 weeks, 
Ice cream, , ,2-3 weeks
Margarine, ,1 month,12 months
Natural cheese, ,1 month,4-6 months
Processed cheese, ,1 month,4-6 months
"Sour cream, buttermilk, cream cheese", ,2 weeks,Not recommended
Yogurt, ,1 month, 
,,,
"Fresh roasts, steaks, chops", ,3-4 days,2-3 months
"Fresh livers, hearts, kidneys, other variety meats", ,1-2 days,3-4 months
"Fresh ground meat, stew meat", ,1-2 days,3-4 months
Cured pork and lunch meat, ,1 week,Not recommended
"Cooked meat, gravies made with meat stock", ,2-3 days,2-3 months
Canned meat, ,1 year, 
"Meat pies, stews, casseroles, meat salads", ,2-3 days,3 months
Hotdogs, ,"1 week (opened), 2 weeks (unopened)",1-2 months
Bacon, ,7 days,1 month
"Sausage, raw from pork, beef, turkey", ,1-2 days,1-2 months
"Hard sausage-pepperoni, jerky sticks", ,2-3 weeks,1-2 months
,,,
Fresh poultry, ,2 days,6-8 months
Cooked poultry, ,2-3 days,6 months
Poultry stuffing, ,1 day, 
"Poultry pies, stews, creamed dishes, gravies", ,1 day,6 months
Poultry salads, ,1 day, 
Eggs, ,2-4 weeks,1 year
"Raw yolk, whites", ,2-4 days,1 year
Hardcooked eggs, ,1 week,Not recommended
Liquid pasteurized eggs or egg substitutes, ,"10 days (unopened), 3 days (opened)",1 year (unopened)
"Egg-containing products: custards, custard sauces, puddings, custard-filled pastries or cakes", ,1-2 days,Not recommended
"Puddings, canned", ,1-2 days (opened), 
,,,
Fresh fish, ,1-2 days,3-6 months
Cooked fish, ,3-4 days,1 month
Fish salad, ,1 day, 
Smoked fish, ,10 days,4-5 weeks
Canned fish,1 year, ,Not recommended
Dried or pickled fish, ,3-4 weeks, 
"Clams, oyster (shucked) and scallops", ,7-9 days, 
Crab, ,7 days,2 months
Shrimp, ,3-5 days,6-12 months
Lobster (shelled or unshelled), ,3-7 days,6-12 months
,,,
Venison, ,3-5 days,3-4 months
"Rabbit, squirrel", ,1-2 days,12 months
"Wild duck, pheasant, goose(whole)", ,1-2 days,6 months
,,,
Apples,Until ripe,1 month, 
Citrus fruits, ,2-6 weeks, 
Grapes, ,1-3 weeks, 
"Melons, most varieties", ,1 week, 
"Peaches, nectarines", ,2-3 weeks, 
Pears (mature but not fully ripe), ,1-3 months, 
"Pineapple, ripe", ,1 week, 
Other fresh fruit,Until ripe,3-5 days,9-12 months
Canned fruit,1 year,2-4 days (opened), 
Dried fruit,6 months,2-4 days (cooked), 
Fruit juice concentrates, , ,1 year
Canned fruit juices,1 year,3-4 days (opened), 
,,,
Asparagus, ,2-3 days, 
"Broccoli, brussels sprouts, green peas, green onions, lima beans, rhubarb, greens, summer squash, mushrooms", ,3-5 days, 
"Cabbage, cauliflower, celery, cucumbers, snap beans, lettuce, peppers, tomatoes", ,1 week, 
"Carrots, beets, parsnips, radishes, turnips", ,2 weeks, 
Corn, ,1 day, 
"White potatoes, sweet potatoes, winter squash, rutabagas, dry onions",1 week (several months at 50-60°F), , 
